"Polygenic Score ID & Name","PGS Publication ID (PGP)","Reported Trait","Mapped Trait(s) (Ontology)","Number of Variants","Ancestry distribution","Scoring File (FTP Link)"
PGS001353(PRS6_PD),"PGP000250|Sia MW et al. Mov Disord (2021)","Parkinson's disease","Parkinson's disease",6,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001353/ScoringFiles/PGS001353.txt.gz
PGS001354(PRS12_TC),"PGP000251|Song N et al. Cancer Epidemiol Biomarkers Prev (2021)","Thyroid cancer","thyroid carcinoma",12,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001354/ScoringFiles/PGS001354.txt.gz
PGS001355(CAD_AnnoPred_PRS),"PGP000252|Ye Y et al. Circ Genom Precis Med (2021)","Coronary artery disease","coronary artery disease","2,994,055",GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001355/ScoringFiles/PGS001355.txt.gz
PGS001356(AF_AnnoPred_PRS),"PGP000252|Ye Y et al. Circ Genom Precis Med (2021)","Atrial fibrillation","atrial fibrillation","2,996,793",GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001356/ScoringFiles/PGS001356.txt.gz
PGS001357(T2D_AnnoPred_PRS),"PGP000252|Ye Y et al. Circ Genom Precis Med (2021)","Type 2 diabetes","type II diabetes mellitus","2,996,761",GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001357/ScoringFiles/PGS001357.txt.gz
PGS001358(GBE_INI5116),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","3mm cylindrical power (R)","eye measurement",148,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001358/ScoringFiles/PGS001358.txt.gz
PGS001359(GBE_INI5135),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","3mm strong meridian (L)","eye measurement","9,497",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001359/ScoringFiles/PGS001359.txt.gz
PGS001360(GBE_INI5132),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","3mm strong meridian (R)","eye measurement","10,082",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001360/ScoringFiles/PGS001360.txt.gz
PGS001361(GBE_INI5104),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","3mm strong meridian angle (L)","eye measurement",976,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001361/ScoringFiles/PGS001361.txt.gz
PGS001362(GBE_INI5096),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","3mm weak meridian (L)","eye measurement","8,600",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001362/ScoringFiles/PGS001362.txt.gz
PGS001363(GBE_INI5099),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","3mm weak meridian (R)","eye measurement","8,983",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001363/ScoringFiles/PGS001363.txt.gz
PGS001364(GBE_INI5113),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","6mm cylindrical power angle (L)","eye measurement",319,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001364/ScoringFiles/PGS001364.txt.gz
PGS001365(GBE_INI5134),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","6mm strong meridian (L)","eye measurement","8,504",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001365/ScoringFiles/PGS001365.txt.gz
PGS001366(GBE_INI5133),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","6mm strong meridian (R)","eye measurement","9,219",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001366/ScoringFiles/PGS001366.txt.gz
PGS001367(GBE_INI5097),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","6mm weak meridian (L)","eye measurement","8,580",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001367/ScoringFiles/PGS001367.txt.gz
PGS001368(GBE_INI5098),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","6mm weak meridian (R)","eye measurement","8,730",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001368/ScoringFiles/PGS001368.txt.gz
PGS001369(GBE_HC1090),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Acute appendicitis (time-to-event)",appendicitis,4,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001369/ScoringFiles/PGS001369.txt.gz
PGS001370(GBE_INI3786),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Age asthma diagnosed",asthma,922,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001370/ScoringFiles/PGS001370.txt.gz
PGS001371(GBE_INI2976),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Age diabetes diagnosed","diabetes mellitus,<br>age at diagnosis",26,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001371/ScoringFiles/PGS001371.txt.gz
PGS001372(GBE_INI22146),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Age hayfever or allergic rhinitis diagnosed by doctor",allergy,255,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001372/ScoringFiles/PGS001372.txt.gz
PGS001373(GBE_INI2217),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Age started wearing glasses or contact lenses","eye measurement","8,870",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001373/ScoringFiles/PGS001373.txt.gz
PGS001374(GBE_INI2897),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Age stopped smoking","smoking cessation",663,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001374/ScoringFiles/PGS001374.txt.gz
PGS001375(GBE_INI22426),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Average heart rate","heart rate",243,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001375/ScoringFiles/PGS001375.txt.gz
PGS001376(GBE_INI21044),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Average number of times bowels opened per day","colorectal health",845,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001376/ScoringFiles/PGS001376.txt.gz
PGS001377(GBE_INI30220),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Basophill %","basophil percentage of leukocytes","3,205",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001377/ScoringFiles/PGS001377.txt.gz
PGS001378(GBE_INI30160),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Basophill count","basophil count","3,050",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001378/ScoringFiles/PGS001378.txt.gz
PGS001379(GBE_INI22427),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Body surface area","anthropometric measurement",850,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001379/ScoringFiles/PGS001379.txt.gz
PGS001380(GBE_INI5264),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Corneal hysteresis (L)","corneal hysteresis","2,240",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001380/ScoringFiles/PGS001380.txt.gz
PGS001381(GBE_INI5256),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Corneal hysteresis (R)","corneal hysteresis","2,500",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001381/ScoringFiles/PGS001381.txt.gz
PGS001382(GBE_INI5265),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Corneal resistance factor (L)","corneal resistance factor","2,390",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001382/ScoringFiles/PGS001382.txt.gz
PGS001383(GBE_INI5257),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Corneal resistance factor (R)","corneal resistance factor","3,941",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001383/ScoringFiles/PGS001383.txt.gz
PGS001384(GBE_INI21060),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Degree bothered by feeling tired all the time in the last 3 months","health-related quality of life measurement","1,526",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001384/ScoringFiles/PGS001384.txt.gz
PGS001385(GBE_INI21051),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Degree bothered by headaches in the last 3 months","health-related quality of life measurement",9,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001385/ScoringFiles/PGS001385.txt.gz
PGS001386(GBE_INI21049),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Degree bothered by pain in arms/legs/joints in the past 3 months","health-related quality of life measurement",534,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001386/ScoringFiles/PGS001386.txt.gz
PGS001387(GBE_INI21058),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Degree bothered by urinary frequency/bladder irritability in the last 3 months","health-related quality of life measurement",333,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001387/ScoringFiles/PGS001387.txt.gz
PGS001388(GBE_QT_FC10003476),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Difficulty not smoking for 1 day","smoking behaviour measurement",1,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001388/ScoringFiles/PGS001388.txt.gz
PGS001389(GBE_INI1319),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Dried fruit intake","diet measurement",989,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001389/ScoringFiles/PGS001389.txt.gz
PGS001390(GBE_HC1084),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Duodenal ulcer (time-to-event)","duodenal ulcer",220,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001390/ScoringFiles/PGS001390.txt.gz
PGS001391(GBE_INI20453),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Ever taken cannabis","Cannabis use",819,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001391/ScoringFiles/PGS001391.txt.gz
PGS001392(GBE_FH1001),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Family history of lung cancer","family history of lung cancer",312,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001392/ScoringFiles/PGS001392.txt.gz
PGS001393(GBE_INI1807),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Father's age at death","father's age at death",398,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001393/ScoringFiles/PGS001393.txt.gz
PGS001394(GBE_INI20414),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Freq. of drinking alcohol","alcohol consumption measurement",860,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001394/ScoringFiles/PGS001394.txt.gz
PGS001395(GBE_INI21025),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Frequency of discomfort/pain in abdomen in last 3 months","pain in abdomen",256,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001395/ScoringFiles/PGS001395.txt.gz
PGS001396(GBE_QT_FC1002060),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Frequency of unenthusiasm / disinterest in last 2 weeks","emotional symptom measurement","2,431",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001396/ScoringFiles/PGS001396.txt.gz
PGS001397(GBE_INI971),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Frequency of walking for pleasure in last 4 weeks","physical activity measurement","1,276",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001397/ScoringFiles/PGS001397.txt.gz
PGS001398(GBE_QT_FC1004570),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Friendship satisfaction","friendship satisfaction measurement",659,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001398/ScoringFiles/PGS001398.txt.gz
PGS001399(GBE_INI23002),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","GE / gI antigen for Varicella Zoster Virus","Varicella zoster virus seropositivity",5,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001399/ScoringFiles/PGS001399.txt.gz
PGS001400(GBE_INI30020),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Haemoglobin concentration","hemoglobin measurement","15,602",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001400/ScoringFiles/PGS001400.txt.gz
PGS001401(GBE_QT_FC1004548),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Health satisfaction","health satisfaction measurement","1,814",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001401/ScoringFiles/PGS001401.txt.gz
PGS001402(GBE_INI3148),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Heel bone mineral density (BMD)","heel bone mineral density","14,251",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001402/ScoringFiles/PGS001402.txt.gz
PGS001403(GBE_INI4105),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Heel bone mineral density (BMD) (L)","heel bone mineral density","8,285",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001403/ScoringFiles/PGS001403.txt.gz
PGS001404(GBE_INI4124),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Heel bone mineral density (BMD) (R)","heel bone mineral density","9,637",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001404/ScoringFiles/PGS001404.txt.gz
PGS001405(GBE_INI12144),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre",Height,"body height","3,166",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001405/ScoringFiles/PGS001405.txt.gz
PGS001406(GBE_INI30300),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","High light scatter reticulocyte count","reticulocyte measurement","15,856",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001406/ScoringFiles/PGS001406.txt.gz
PGS001407(GBE_INI23022),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","HTLV-1 gag antigen for Human T-Lymphotropic Virus 1","blood protein measurement",66,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001407/ScoringFiles/PGS001407.txt.gz
PGS001408(GBE_INI30280),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Immature reticulocyte fraction","Immature Reticulocyte Fraction Measurement","10,871",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001408/ScoringFiles/PGS001408.txt.gz
PGS001409(GBE_INI5262),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Intra-ocular pressure, corneal-compensated (L)","intraocular pressure measurement","1,166",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001409/ScoringFiles/PGS001409.txt.gz
PGS001410(GBE_INI5254),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Intra-ocular pressure, corneal-compensated (R)","intraocular pressure measurement","1,563",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001410/ScoringFiles/PGS001410.txt.gz
PGS001411(GBE_INI5263),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Intra-ocular pressure, Goldmann-correlated (L)","intraocular pressure measurement","3,513",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001411/ScoringFiles/PGS001411.txt.gz
PGS001412(GBE_INI22420),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","LV ejection fraction","left ventricular ejection fraction measurement",266,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001412/ScoringFiles/PGS001412.txt.gz
PGS001413(GBE_INI22423),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","LV stroke volume","left ventricular stroke volume measurement",26,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001413/ScoringFiles/PGS001413.txt.gz
PGS001414(GBE_INI30180),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Lymphocyte %","lymphocyte percentage of leukocytes","15,143",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001414/ScoringFiles/PGS001414.txt.gz
PGS001415(GBE_INI25073),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean FA in anterior limb of internal capsule on FA skeleton (L)","neuroimaging measurement,<br>brain volume measurement",731,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001415/ScoringFiles/PGS001415.txt.gz
PGS001416(GBE_INI25072),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean FA in anterior limb of internal capsule on FA skeleton (R)","neuroimaging measurement,<br>brain volume measurement","1,280",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001416/ScoringFiles/PGS001416.txt.gz
PGS001417(GBE_INI25059),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean FA in body of corpus callosum on FA skeleton","neuroimaging measurement,<br>brain volume measurement",754,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001417/ScoringFiles/PGS001417.txt.gz
PGS001418(GBE_INI25071),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean FA in cerebral peduncle on FA skeleton (L)","neuroimaging measurement,<br>brain volume measurement","1,295",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001418/ScoringFiles/PGS001418.txt.gz
PGS001419(GBE_INI25091),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean FA in cingulum cingulate gyrus on FA skeleton (L)","neuroimaging measurement,<br>brain volume measurement",895,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001419/ScoringFiles/PGS001419.txt.gz
PGS001420(GBE_INI25090),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean FA in cingulum cingulate gyrus on FA skeleton (R)","neuroimaging measurement,<br>brain volume measurement","1,224",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001420/ScoringFiles/PGS001420.txt.gz
PGS001421(GBE_INI25093),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean FA in cingulum hippocampus on FA skeleton (L)","neuroimaging measurement,<br>brain volume measurement",330,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001421/ScoringFiles/PGS001421.txt.gz
PGS001422(GBE_INI25092),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean FA in cingulum hippocampus on FA skeleton (R)","neuroimaging measurement,<br>brain volume measurement",879,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001422/ScoringFiles/PGS001422.txt.gz
PGS001423(GBE_INI25062),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean FA in corticospinal tract on FA skeleton (R)","neuroimaging measurement,<br>brain volume measurement",342,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001423/ScoringFiles/PGS001423.txt.gz
PGS001424(GBE_INI25088),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean FA in external capsule on FA skeleton (R)","neuroimaging measurement,<br>brain volume measurement",940,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001424/ScoringFiles/PGS001424.txt.gz
PGS001425(GBE_INI25094),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean FA in fornix cres+stria terminalis on FA skeleton (R)","neuroimaging measurement,<br>brain volume measurement","1,174",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001425/ScoringFiles/PGS001425.txt.gz
PGS001426(GBE_INI25061),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean FA in fornix on FA skeleton","neuroimaging measurement,<br>brain volume measurement",836,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001426/ScoringFiles/PGS001426.txt.gz
PGS001427(GBE_INI25058),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean FA in genu of corpus callosum on FA skeleton","neuroimaging measurement,<br>brain volume measurement","1,073",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001427/ScoringFiles/PGS001427.txt.gz
PGS001428(GBE_INI25066),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean FA in inferior cerebellar peduncle on FA skeleton (R)","neuroimaging measurement,<br>brain volume measurement",946,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001428/ScoringFiles/PGS001428.txt.gz
PGS001429(GBE_INI25056),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean FA in middle cerebellar peduncle on FA skeleton","neuroimaging measurement,<br>brain volume measurement","1,140",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001429/ScoringFiles/PGS001429.txt.gz
PGS001430(GBE_INI25075),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean FA in posterior limb of internal capsule on FA skeleton (L)","neuroimaging measurement,<br>brain volume measurement","1,796",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001430/ScoringFiles/PGS001430.txt.gz
PGS001431(GBE_INI25074),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean FA in posterior limb of internal capsule on FA skeleton (R)","neuroimaging measurement,<br>brain volume measurement","2,080",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001431/ScoringFiles/PGS001431.txt.gz
PGS001432(GBE_INI25085),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean FA in posterior thalamic radiation on FA skeleton (L)","neuroimaging measurement,<br>brain volume measurement","1,654",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001432/ScoringFiles/PGS001432.txt.gz
PGS001433(GBE_INI25084),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean FA in posterior thalamic radiation on FA skeleton (R)","neuroimaging measurement,<br>brain volume measurement","1,877",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001433/ScoringFiles/PGS001433.txt.gz
PGS001434(GBE_INI25077),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean FA in retrolenticular part of internal capsule on FA skeleton (L)","neuroimaging measurement,<br>brain volume measurement","1,164",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001434/ScoringFiles/PGS001434.txt.gz
PGS001435(GBE_INI25076),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean FA in retrolenticular part of internal capsule on FA skeleton (R)","neuroimaging measurement,<br>brain volume measurement",456,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001435/ScoringFiles/PGS001435.txt.gz
PGS001436(GBE_INI25087),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean FA in sagittal stratum on FA skeleton (L)","neuroimaging measurement,<br>brain volume measurement","1,376",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001436/ScoringFiles/PGS001436.txt.gz
PGS001437(GBE_INI25086),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean FA in sagittal stratum on FA skeleton (R)","neuroimaging measurement,<br>brain volume measurement","1,445",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001437/ScoringFiles/PGS001437.txt.gz
PGS001438(GBE_INI25060),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean FA in splenium of corpus callosum on FA skeleton","neuroimaging measurement,<br>brain volume measurement",598,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001438/ScoringFiles/PGS001438.txt.gz
PGS001439(GBE_INI25069),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean FA in superior cerebellar peduncle on FA skeleton (L)","neuroimaging measurement,<br>brain volume measurement","1,647",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001439/ScoringFiles/PGS001439.txt.gz
PGS001440(GBE_INI25068),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean FA in superior cerebellar peduncle on FA skeleton (R)","neuroimaging measurement,<br>brain volume measurement","1,860",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001440/ScoringFiles/PGS001440.txt.gz
PGS001441(GBE_INI25081),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean FA in superior corona radiata on FA skeleton (L)","neuroimaging measurement,<br>brain volume measurement",821,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001441/ScoringFiles/PGS001441.txt.gz
PGS001442(GBE_INI25080),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean FA in superior corona radiata on FA skeleton (R)","neuroimaging measurement,<br>brain volume measurement","1,238",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001442/ScoringFiles/PGS001442.txt.gz
PGS001443(GBE_INI25099),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean FA in superior fronto-occipital fasciculus on FA skeleton (L)","neuroimaging measurement,<br>brain volume measurement","1,286",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001443/ScoringFiles/PGS001443.txt.gz
PGS001444(GBE_INI25098),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean FA in superior fronto-occipital fasciculus on FA skeleton (R)","neuroimaging measurement,<br>brain volume measurement",480,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001444/ScoringFiles/PGS001444.txt.gz
PGS001445(GBE_INI25097),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean FA in superior longitudinal fasciculus on FA skeleton (L)","neuroimaging measurement,<br>brain volume measurement","3,389",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001445/ScoringFiles/PGS001445.txt.gz
PGS001446(GBE_INI25096),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean FA in superior longitudinal fasciculus on FA skeleton (R)","neuroimaging measurement,<br>brain volume measurement","1,463",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001446/ScoringFiles/PGS001446.txt.gz
PGS001447(GBE_INI25103),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean FA in tapetum on FA skeleton (L)","neuroimaging measurement,<br>brain volume measurement","1,202",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001447/ScoringFiles/PGS001447.txt.gz
PGS001448(GBE_INI25102),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean FA in tapetum on FA skeleton (R)","neuroimaging measurement,<br>brain volume measurement","1,948",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001448/ScoringFiles/PGS001448.txt.gz
